Controller	Action	HTTPメソッド	URL
action_mailbox/ingresses/mailgun/inbound_emails	create	POST	/rails/action_mailbox/mailgun/inbound_emails/mime(.:format)
action_mailbox/ingresses/mandrill/inbound_emails	create	POST	/rails/action_mailbox/mandrill/inbound_emails(.:format)
action_mailbox/ingresses/mandrill/inbound_emails	health_check	GET	/rails/action_mailbox/mandrill/inbound_emails(.:format)
action_mailbox/ingresses/postmark/inbound_emails	create	POST	/rails/action_mailbox/postmark/inbound_emails(.:format)
action_mailbox/ingresses/relay/inbound_emails	create	POST	/rails/action_mailbox/relay/inbound_emails(.:format)
action_mailbox/ingresses/sendgrid/inbound_emails	create	POST	/rails/action_mailbox/sendgrid/inbound_emails(.:format)
active_storage/blobs/proxy	show	GET	/rails/active_storage/blobs/proxy/:signed_id/*filename(.:format)
active_storage/blobs/redirect	show	GET	/rails/active_storage/blobs/:signed_id/*filename(.:format)
active_storage/blobs/redirect	show	GET	/rails/active_storage/blobs/redirect/:signed_id/*filename(.:format)
active_storage/direct_uploads	create	POST	/rails/active_storage/direct_uploads(.:format)
active_storage/disk	show	GET	/rails/active_storage/disk/:encoded_key/*filename(.:format)
active_storage/disk	update	PUT	/rails/active_storage/disk/:encoded_token(.:format)
active_storage/representations/proxy	show	GET	/rails/active_storage/representations/proxy/:signed_blob_id/:variation_key/*filename(.:format)
active_storage/representations/redirect	show	GET	/rails/active_storage/representations/:signed_blob_id/:variation_key/*filename(.:format)
active_storage/representations/redirect	show	GET	/rails/active_storage/representations/redirect/:signed_blob_id/:variation_key/*filename(.:format)
admin/comments	destroy	DELETE	/admin/comments/:id(.:format)
admin/comments	index	GET	/admin/comments(.:format)
admin/comments	search	GET	/admin/comments/search(.:format)
admin/comments	show	GET	/admin/comments/:id(.:format)
admin/comments	unreport	PATCH	/admin/comments/:id/unreport(.:format)
admin/connections	destroy	DELETE	/admin/connections/:id(.:format)
admin/daily_reports	destroy	DELETE	/admin/daily_reports/:id(.:format)
admin/daily_reports	show	GET	/admin/daily_reports/:id(.:format)
admin/dashboard	index	GET	/admin(.:format)
admin/dashboard	index	GET	/admin/dashboard(.:format)
admin/groups	create	POST	/admin/groups(.:format)
admin/groups	destroy	DELETE	/admin/groups/:id(.:format)
admin/groups	edit	GET	/admin/groups/:id/edit(.:format)
admin/groups	index	GET	/admin/groups(.:format)
admin/groups	new	GET	/admin/groups/new(.:format)
admin/groups	remove_group_image	DELETE	/admin/groups/:id/remove_group_image(.:format)
admin/groups	show	GET	/admin/groups/:id(.:format)
admin/groups	unreport	PATCH	/admin/groups/:id/unreport(.:format)
admin/groups	update	PATCH	/admin/groups/:id(.:format)
admin/groups	update	PUT	/admin/groups/:id(.:format)
admin/memberships	approve	PATCH	/admin/groups/:group_id/memberships/:id/approve(.:format)
admin/memberships	create	POST	/admin/groups/:group_id/memberships(.:format)
admin/memberships	destroy	DELETE	/admin/groups/:group_id/memberships/:id(.:format)
admin/memberships	reject	DELETE	/admin/groups/:group_id/memberships/:id/reject(.:format)
admin/memberships	report_member	PATCH	/admin/groups/:group_id/memberships/:id/report(.:format)
admin/memberships	unreport_member	PATCH	/admin/groups/:group_id/memberships/:id/unreport(.:format)
admin/notifications	index	GET	/admin/notifications(.:format)
admin/notifications	mark_all_read	PATCH	/admin/notifications/mark_all_read(.:format)
admin/notifications	mark_read	PATCH	/admin/notifications/:id/mark_read(.:format)
admin/notifications	show	GET	/admin/notifications/:id(.:format)
admin/notifications	update	PATCH	/admin/notifications/:id(.:format)
admin/notifications	update	PUT	/admin/notifications/:id(.:format)
admin/passwords	create	POST	/admin/password(.:format)
admin/passwords	edit	GET	/admin/password/edit(.:format)
admin/passwords	new	GET	/admin/password/new(.:format)
admin/passwords	update	PATCH	/admin/password(.:format)
admin/passwords	update	PUT	/admin/password(.:format)
admin/posts	destroy	DELETE	/admin/posts/:id(.:format)
admin/posts	edit	GET	/admin/posts/:id/edit(.:format)
admin/posts	index	GET	/admin/posts(.:format)
admin/posts	report	PATCH	/admin/posts/:id/report(.:format)
admin/posts	search	GET	/admin/posts/search(.:format)
admin/posts	show	GET	/admin/posts/:id(.:format)
admin/posts	unreport	PATCH	/admin/posts/:id/unreport(.:format)
admin/posts	update	PATCH	/admin/posts/:id(.:format)
admin/posts	update	PUT	/admin/posts/:id(.:format)
admin/sessions	create	POST	/admin/sign_in(.:format)
admin/sessions	destroy	DELETE	/admin/sign_out(.:format)
admin/sessions	new	GET	/admin/sign_in(.:format)
admin/users	create	POST	/admin/users(.:format)
admin/users	destroy	DELETE	/admin/users/:id(.:format)
admin/users	edit	GET	/admin/users/:id/edit(.:format)
admin/users	followers	GET	/admin/users/:id/followers(.:format)
admin/users	following	GET	/admin/users/:id/following(.:format)
admin/users	index	GET	/admin/users(.:format)
admin/users	search	GET	/admin/users/search(.:format)
admin/users	show	GET	/admin/users/:id(.:format)
admin/users	toggle_status	PATCH	/admin/users/:id/toggle_status(.:format)
admin/users	unreport	PATCH	/admin/users/:id/unreport(.:format)
admin/users	update	PATCH	/admin/users/:id(.:format)
admin/users	update	PUT	/admin/users/:id(.:format)
devise/confirmations	create	POST	/admin/confirmation(.:format)
devise/confirmations	new	GET	/admin/confirmation/new(.:format)
devise/confirmations	show	GET	/admin/confirmation(.:format)
devise/passwords	create	POST	/users/password(.:format)
devise/passwords	edit	GET	/users/password/edit(.:format)
devise/passwords	new	GET	/users/password/new(.:format)
devise/passwords	update	PATCH	/users/password(.:format)
devise/passwords	update	PUT	/users/password(.:format)
maps	edit	GET	/maps/:id/edit(.:format)
maps	show	GET	/maps/:id(.:format)
maps	show	GET	/maps/show(.:format)
maps	update	PATCH	/maps/:id(.:format)
maps	update	PUT	/maps/:id(.:format)
notifications	index	GET	/notifications(.:format)
notifications	mark_all_read	PATCH	/notifications/mark_all_read(.:format)
notifications	mark_as_read	PATCH	/notifications/:id/mark_as_read(.:format)
notifications	show	GET	/notifications/:id(.:format)
notifications	update	PATCH	/notifications/:id(.:format)
notifications	update	PUT	/notifications/:id(.:format)
public/comments	create	POST	/posts/:post_id/comments(.:format)
public/comments	destroy	DELETE	/posts/:post_id/comments/:id(.:format)
public/comments	report	PATCH	/posts/:post_id/comments/:id/report(.:format)
public/connections	create	POST	/connections(.:format)
public/connections	create	POST	/users/:id/follow(.:format)
public/connections	destroy	DELETE	/connections/:id(.:format)
public/connections	destroy	DELETE	/users/:id/unfollow(.:format)
public/connections	followers	GET	/users/:id/followers(.:format)
public/connections	following	GET	/users/:id/following(.:format)
public/daily_reports	calendar_data	GET	/daily_reports/calendar_data(.:format)
public/daily_reports	compact	GET	/daily_reports/:id/compact(.:format)
public/daily_reports	create	POST	/daily_reports(.:format)
public/daily_reports	destroy	DELETE	/daily_reports/:id(.:format)
public/daily_reports	edit	GET	/daily_reports/:id/edit(.:format)
public/daily_reports	future_growth_data	GET	/daily_reports/future_growth_data(.:format)
public/daily_reports	growth_data	GET	/daily_reports/growth_data(.:format)
public/daily_reports	index	GET	/daily_reports(.:format)
public/daily_reports	new	GET	/daily_reports/new(.:format)
public/daily_reports	performance_data	GET	/daily_reports/performance_data(.:format)
public/daily_reports	show	GET	/daily_reports/:id(.:format)
public/daily_reports	update	PATCH	/daily_reports/:id(.:format)
public/daily_reports	update	PUT	/daily_reports/:id(.:format)
public/groups	create	POST	/groups(.:format)
public/groups	destroy	DELETE	/groups/:id(.:format)
public/groups	edit	GET	/groups/:id/edit(.:format)
public/groups	index	GET	/groups(.:format)
public/groups	leave	DELETE	/groups/:id/leave(.:format)
public/groups	manage_group	GET	/groups/:id/manage_group(.:format)
public/groups	new	GET	/groups/new(.:format)
public/groups	owner_dashboard	GET	/groups/:id/owner_dashboard(.:format)
public/groups	report	PATCH	/groups/:id/report(.:format)
public/groups	request_join	POST	/groups/:id/request_join(.:format)
public/groups	search	GET	/groups/search(.:format)
public/groups	show	GET	/groups/:id(.:format)
public/groups	unreport	PATCH	/groups/:id/unreport(.:format)
public/groups	update	PATCH	/groups/:id(.:format)
public/groups	update	PUT	/groups/:id(.:format)
public/homes	about	GET	/about(.:format)
public/homes	top	GET	/
public/likes	create	POST	/posts/:post_id/likes(.:format)
public/likes	destroy	DELETE	/posts/:post_id/likes/:id(.:format)
public/memberships	approve_membership	PATCH	/groups/:group_id/memberships/:id/approve(.:format)
public/memberships	create	POST	/groups/:group_id/memberships(.:format)
public/memberships	destroy	DELETE	/groups/:group_id/memberships/:id(.:format)
public/memberships	reject_membership	DELETE	/groups/:group_id/memberships/:id/reject(.:format)
public/memberships	report_member	PATCH	/groups/:group_id/memberships/:id/report(.:format)
public/memberships	unreport_member	PATCH	/groups/:group_id/memberships/:id/unreport(.:format)
public/posts	create	POST	/groups/:group_id/posts(.:format)
public/posts	create	POST	/posts(.:format)
public/posts	create	POST	/users/:user_id/posts(.:format)
public/posts	destroy	DELETE	/groups/:group_id/posts/:id(.:format)
public/posts	destroy	DELETE	/posts/:id(.:format)
public/posts	destroy	DELETE	/users/:user_id/posts/:id(.:format)
public/posts	edit	GET	/groups/:group_id/posts/:id/edit(.:format)
public/posts	edit	GET	/posts/:id/edit(.:format)
public/posts	edit	GET	/users/:user_id/posts/:id/edit(.:format)
public/posts	index	GET	/groups/:group_id/posts(.:format)
public/posts	index	GET	/posts(.:format)
